Account,Assists,Deaths,Heals,Hours_Played,Kill_Death_Ratio,Kills,Kills_Per_Minute,Matches_Won,Resupplies,Revives,Score_Per_Min,Total_Damage_Done,Win_Ratio
ElYiota_Tv,24064,29181,544067,1156,3.83,111708,1.61,2735,50396,30249,671.8,12908892,0.79
Rzpaz,5507,8207,117317,253,3.95,32422,2.13,868,7017,4661,671.79,3524392,0.81
WISAM_SLAYER90,14183,26154,187241,1684,2.75,71954,0.71,2069,21559,12276,671.65,9231064,0.53
Gen-Odyssey,84876,77392,464712,3645,6.72,520089,2.38,9619,70320,36684,671.62,57602261,0.73
Trickii3,14886,17832,958819,916,4.62,82422,1.5,2854,65149,41785,671.39,8801441,0.66
Boab-McGee,4954,6563,9876,221,4.72,30978,2.33,623,4329,1871,671.3,3431549,0.71
1XAXAXAXAXAXAXA1,1031,741,3497,197,24.58,18214,1.54,591,1409,270,671.02,2393925,0.94
xCaRb0NiiZz--,22137,23695,179162,1268,5.35,126799,1.67,3725,43729,12461,670.72,14831532,0.81
3077257177,6427,13587,63292,517,2.4,32616,1.05,593,7517,2414,670.61,4053605,0.59
popgamings,23902,38230,114118,1724,5.16,197440,1.91,3113,9095,6543,670.29,22128921,0.59
up-Level-5,26442,30773,87480,1176,5.34,164436,2.33,3060,70625,4655,669.86,18958676,0.74
M1chaeI_Wittmann,30032,19301,130335,1773,8.32,160547,1.51,3924,50124,25258,669.85,19255353,0.7
TheGoldenAurora,14619,22215,56198,691,3.32,73840,1.78,1367,20758,6740,669.57,8663058,0.61
GORILA730,41968,79558,144598,3086,2.62,208604,1.13,7664,25888,26873,669.52,23378054,0.72
Herre_Adrian_,17012,30215,178039,780,2.67,80560,1.72,2163,17836,17750,669.06,9097146,0.75
ApoIIogy,2065,4885,208,126,2.06,10054,1.32,206,188,857,668.93,1170156,0.63
LAYZBINKS,2260,4278,56211,111,2.87,12262,1.83,221,3640,2586,668.88,1413782,0.58
X-SheWolf,32892,70249,576749,2089,2.07,145690,1.16,3669,61989,51668,668.1,16887247,0.58
MA-Kiss-089,39950,72299,295554,2023,3.72,268772,2.21,4828,39157,13309,667.67,30935110,0.63
Knickkopf_,16519,37682,126894,805,2.49,93774,1.94,1823,31578,9217,667.67,10863988,0.62
Par4ziiTe,25560,35109,199953,1504,5.55,194815,2.16,2984,39076,16720,667.37,21667959,0.67
TYUSONwithAA12,38574,128294,116996,2272,2.13,273689,2.01,4240,234437,14638,667.35,30347711,0.58
GuilleVzla_-,25969,38759,136637,1228,3.83,148524,2.02,3049,25713,11561,667.05,16582323,0.69
world_noid,37394,56297,72001,1562,3.5,197086,2.1,3299,13632,4841,666.98,24080028,0.65
HIRO777-mifu,47448,68755,633721,2225,3.35,230309,1.73,4639,35937,33983,666.97,26400667,0.68
C4LVINBRO4DUSS,2268,3781,18743,107,4.8,18149,2.82,312,1850,583,666.76,1980491,0.71
